product_name;parameter_name;value
Patriot Viper Venom 32GB (2x16GB) DDR5 6000MHz PVV532G600C30K;Bus Speed;N/A
Patriot Viper Venom 32GB (2x16GB) DDR5 6000MHz PVV532G600C30K;CAS Latency;N/A
G.SKILL Aegis 16GB (2x8GB) DDR4 3200MHz F4-3200C16D-16GIS;Memory Capacity;16
G.SKILL Aegis 16GB (2x8GB) DDR4 3200MHz F4-3200C16D-16GIS;Memory Type;DDR4
G.SKILL Aegis 16GB (2x8GB) DDR4 3200MHz F4-3200C16D-16GIS;Bus Speed;N/A
G.SKILL Aegis 16GB (2x8GB) DDR4 3200MHz F4-3200C16D-16GIS;CAS Latency;N/A
G.SKILL Aegis 32GB (2x16GB) DDR4 3200MHz F4-3200C16D-32GIS;Memory Capacity;32
G.SKILL Aegis 32GB (2x16GB) DDR4 3200MHz F4-3200C16D-32GIS;Memory Type;DDR4
G.SKILL Aegis 32GB (2x16GB) DDR4 3200MHz F4-3200C16D-32GIS;Bus Speed;N/A
G.SKILL Aegis 32GB (2x16GB) DDR4 3200MHz F4-3200C16D-32GIS;CAS Latency;N/A
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BB1K2/32;Memory Capacity;32
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BB1K2/32;Memory Type;DDR4
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BB1K2/32;Bus Speed;N/A
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BB1K2/32;CAS Latency;N/A
G.SKILL Trident Z5 Royal RGB 96GB (2x48GB) DDR5 6800MHz F5-6800J3446F48GX2-TR5S;Memory Capacity;96
G.SKILL Trident Z5 Royal RGB 96GB (2x48GB) DDR5 6800MHz F5-6800J3446F48GX2-TR5S;Memory Type;DDR5
G.SKILL Trident Z5 Royal RGB 96GB (2x48GB) DDR5 6800MHz F5-6800J3446F48GX2-TR5S;Bus Speed;N/A
G.SKILL Trident Z5 Royal RGB 96GB (2x48GB) DDR5 6800MHz F5-6800J3446F48GX2-TR5S;CAS Latency;N/A
irány a bolt - allegro.hu;Memory Capacity;N/A
irány a bolt - allegro.hu;Memory Type;N/A
irány a bolt - allegro.hu;Bus Speed;N/A
irány a bolt - allegro.hu;CAS Latency;N/A
Kingston FURY Beast 16GB DDR5 5600MHz KF556C40BB-16;Memory Capacity;16
Kingston FURY Beast 16GB DDR5 5600MHz KF556C40BB-16;Memory Type;DDR5
Kingston FURY Beast 16GB DDR5 5600MHz KF556C40BB-16;Bus Speed;N/A
